episode,train_reward,steps,loss,epsilon,eval_avg_reward,eval_avg_latency,eval_sla_rate,eval_avg_cost,mean_q,edge_pct,cloud_pct,reject_pct,elapsed_sec
50,-129.8631,200,0.084942,0.7783,-58.4692,10189.16,84.22,2.822271,-9.5229,32.84,66.92,0.24,48.9
100,-107.6119,200,0.125489,0.6058,-65.8867,9476.09,84.17,3.207007,-16.9767,17.23,80.99,1.78,107.9
150,-101.7817,200,0.179076,0.4715,-59.9515,10992.91,82.16,2.411062,-21.3813,48.18,51.48,0.35,166.9
200,-82.2893,200,0.161915,0.367,-56.5171,10232.98,84.9,2.774008,-23.9746,35.84,64.16,0.01,226.9
250,-84.4259,200,0.170976,0.2856,-56.6998,10437.38,84.97,2.655039,-25.5191,39.92,60.04,0.03,289.0
300,-77.4793,200,0.182838,0.2223,-56.6124,10222.56,84.45,2.678469,-26.2256,38.84,61.12,0.04,351.3
350,-78.6112,200,0.134786,0.173,-57.9486,10340.61,84.95,2.755413,-26.8904,35.67,64.25,0.08,412.7
400,-58.9858,200,0.173166,0.1347,-56.4762,10490.39,85.14,2.61559,-27.1365,42.05,57.94,0.01,474.2
450,-71.7882,200,0.177784,0.1048,-56.9858,10726.95,84.47,2.506471,-27.297,46.41,53.55,0.03,536.9
500,-66.5549,200,0.167603,0.0816,-57.1517,10762.0,84.71,2.523128,-27.3869,44.94,55.02,0.05,599.6
550,-63.0001,200,0.161798,0.0635,-55.777,10774.74,85.18,2.494726,-27.3911,46.1,53.87,0.03,662.1
600,-62.4615,200,0.145637,0.05,-55.639,10238.96,85.41,2.728273,-27.4163,36.6,63.37,0.03,724.5
650,-66.1233,200,0.213436,0.05,-55.7461,10738.14,85.09,2.523718,-27.5208,44.84,55.13,0.03,788.0
700,-64.8299,200,0.168708,0.05,-55.396,10606.83,85.06,2.519698,-27.5669,44.61,55.37,0.02,850.8
750,-56.8078,200,0.197968,0.05,-58.8838,10285.64,84.8,2.753917,-27.4806,35.73,64.27,0.01,913.0
800,-57.8277,200,0.161525,0.05,-56.8624,10508.63,85.41,2.66821,-27.6052,40.34,59.66,0.01,975.6
850,-59.6948,200,0.153124,0.05,-55.436,10073.1,85.59,2.781216,-27.637,35.3,64.69,0.01,1038.2
900,-60.5152,200,0.184706,0.05,-55.3794,10300.9,85.45,2.702715,-27.7392,39.06,60.8,0.14,1101.1
950,-56.3735,200,0.189529,0.05,-57.4646,10155.79,85.57,2.822562,-27.6157,34.52,65.44,0.03,1164.0
1000,-61.2931,200,0.175178,0.05,-60.4624,11303.04,81.53,2.350075,-27.5789,50.32,49.6,0.08,1227.4
