#{"t_start": 1775392320.3366115, "env_id": "None"}
r,l,t
-321.63262,200,4.48025
-336.184716,200,4.86799
-353.335302,200,7.274681
-362.549615,200,7.594209
-340.793953,200,7.918092
-341.576795,200,9.768484
-306.13049,200,10.123217
-277.786188,200,11.931693
-260.197822,200,12.273592
-336.999454,200,12.617244
-309.245573,200,14.573375
-283.501806,200,14.941957
-333.363854,200,20.428672
-325.180366,200,20.799992
--300.414784,200,21.156275
--235.055298,200,23.140563
--294.720199,200,23.504286
--252.540207,200,25.449642
--238.429345,200,26.047941-3-260.435441,200,26.544872-2-349.640512,200,28.961211-3-212.978861,200,29.317075-3-326.155253,200,29.681967-2-256.981812,200,31.991074-3-297.411522,200,32.3702--24-283.618341,200,37.4908--3-260.677145,200,37.84648--3-249.904879,200,38.1805-3-2-307.373958,200,40.1673-2-2-320.095219,200,40.5158-3--296.033496,200,42.79029-2--299.589204,200,43.18583-3--237.538687,200,43.60903-2--324.865882,200,45.57268-2--189.914799,200,45.95599-2--228.730701,200,47.84718-2--270.774162,200,48.21059-1--278.142602,200,51.914-187-283.402986,200,54.3666-18--249.043806,200,54.7717-23--216.097591,200,56.817-205-237.409596,200,57.2817-17-191.864355,200,57.64757-20-161.305014,200,59.65131-14-173.121772,200,59.99374-19-187.667696,200,60.35059-1-166.106564,200,62.257821-1-127.551282,200,62.598444-1-117.811103,200,64.572479-2-191.15571,200,64.928367
--199.341566,200,68.408814
--138.568048,200,70.42866
-113.885468,200,70.796621
-110.181078,200,72.644915
-156.66577,200,72.998927
-226.985956,200,73.353047
-210.251132,200,75.200971
--176.053364,200,75.54506-13-162.776776,200,77.87794-14-119.946479,200,78.22199-11-119.358577,200,78.6420-1-1-116.27616,200,81.05291-1--89.805264,200,84.900336-1-192.284917,200,85.258817-1-124.978652,200,87.210235---190.157158,200,87.594622---160.347928,200,89.836311---143.812878,200,90.2758-141-110.383767,200,90.6779-15-227.093018,200,92.9985-103-158.022753,200,93.3763-144-117.765779,200,95.4014-141-179.70332,200,95.76624-10-108.304651,200,96.1159--14-141.776561,200,97.9377--87-138.111922,200,101.6761-151-102.040506,200,103.9016-20-121.041326,200,104.27113-14-139.222929,200,104.65080-18-219.890457,200,106.58434-15-137.627509,200,106.94846-23-147.440218,200,108.91575-16-108.587394,200,109.29105-15-126.81969,200,109.665318-1-184.821916,200,111.57771---94.511665,200,111.921
-114.612323,200,112.296159
-92.022925,200,117.781331
-70.320718,200,118.129098
-138.187471,200,120.086402
-133.64913,200,120.435449
-156.940237,200,120.781911
-177.604141,200,122.624761
-145.730137,200,122.954917
-93.278849,200,124.776985
-127.486553,200,125.154644
-54.939803,200,125.545083
-137.790875,200,127.798678
-180.323258,200,128.164696
-152.88803,200,130.238163
-145.18807,200,133.744664
-187.822666,200,134.086554
-133.437676,200,136.119255
-109.438303,200,136.473199
-136.474068,200,138.475367
-175.551467,200,138.84879
-130.340069,200,139.198025
-122.543391,200,141.159914
-146.085553,200,141.487266
-127.125589,200,141.820942
-112.076294,200,143.732604
-142.016931,200,144.068899
-141.268132,200,149.08105
-110.244458,200,149.42739
-172.965092,200,149.815128
-138.175886,200,152.018922
-126.884727,200,152.365397
-140.142221,200,154.410563
-76.756373,200,154.742208
-100.194695,200,155.075551
-131.748906,200,156.993303
-129.087176,200,157.359219
-94.934245,200,159.332214
-168.913389,200,159.702713
-135.397483,200,160.049577
-167.823337,200,165.348591
-123.827006,200,165.692546
-180.588423,200,166.066847
-155.208834,200,168.091691-1-115.319398,200,168.472146-1-144.267689,200,170.420973-1-140.576661,200,170.754759-1-133.815329,200,171.099205-1-142.227605,200,172.993057---93.101649,200,173.365533
--139.734224,200,175.313684
--100.624921,200,175.6896
-123.290766,200,179.312135
-87.292748,200,181.147807
-93.96323,200,181.505399
-134.687666,200,183.325675
-124.92756,200,183.684682
-159.45856,200,184.038861
-102.569645,200,185.83649
-94.940029,200,186.192296
-146.940768,200,188.255536
-148.959408,200,188.605328
-105.455833,200,188.951407
-147.964996,200,191.068803
-91.83617,200,191.439413
-137.303274,200,195.098184
-146.896492,200,196.944072
-132.714962,200,197.312079
-121.473066,200,199.339493
-174.901772,200,199.703494
-105.66979,200,200.056281
-139.361188,200,202.202987
-101.793628,200,202.62864
-120.425252,200,204.689298
-105.364508,200,205.042892
--75.993885,200,205.408365
-109.978883,200,207.34318
-87.612733,200,211.101483
-95.031497,200,213.257253
-101.868138,200,213.628764
-124.490569,200,213.993659
-97.6307,200,216.054628
-161.352954,200,216.425998
-133.472675,200,218.47838
-137.354955,200,218.847281
-99.164996,200,219.227707
-124.321112,200,221.335175
-131.416559,200,221.72323
-115.934644,200,222.126385
-126.240337,200,224.236922
-101.67733,200,228.167042
-146.269883,200,230.265002
-155.888902,200,230.64009
-145.934037,200,230.987806
