episode,train_reward,steps,loss,epsilon,eval_avg_reward,eval_avg_latency,eval_sla_rate,eval_avg_cost,elapsed_sec
50,-151.324,200,0.332057,0.7783,-45.4728,69.64,51.62,0.588252,42.1
100,-122.2979,200,0.481451,0.6058,-48.8711,59.1,47.65,0.85019,94.7
150,-112.8649,200,0.39119,0.4715,-46.6804,64.07,50.92,0.939866,147.7
200,-98.4819,200,0.254928,0.367,-35.4264,48.17,49.12,0.579274,200.9
250,-64.6495,200,0.23213,0.2856,-34.2556,66.36,56.03,0.724537,256.0
300,-46.7311,200,0.209279,0.2223,-30.3252,67.25,58.48,0.863808,310.6
350,-64.4064,200,0.202153,0.173,-31.1199,60.22,54.5,0.555708,365.3
400,-68.3594,200,0.208127,0.1347,-30.203,72.71,59.92,0.761269,420.6
450,-46.9828,200,0.187849,0.1048,-30.7419,74.05,60.25,0.858862,476.3
500,-58.9861,200,0.182247,0.0816,-29.203,63.38,56.97,0.742137,531.6
550,-41.175,200,0.191678,0.0635,-26.62,78.83,64.4,0.990305,587.7
600,-26.1541,200,0.180809,0.05,-28.9987,67.27,58.88,0.830843,643.6
650,-37.7747,200,0.203376,0.05,-29.7592,62.02,56.4,0.633322,699.8
700,-22.606,200,0.184341,0.05,-29.5083,65.31,57.83,0.762873,756.0
750,-21.551,200,0.204609,0.05,-28.5025,61.31,57.27,0.800262,812.0
800,-36.6975,200,0.200275,0.05,-28.9709,58.31,55.83,0.781909,868.0
850,-45.8518,200,0.19628,0.05,-27.6219,61.16,57.45,0.744647,923.5
900,-42.5788,200,0.188486,0.05,-31.7875,66.82,57.45,0.786529,979.5
950,-44.7025,200,0.208832,0.05,-32.5946,59.94,54.27,0.599106,1035.1
1000,-29.8432,200,0.208196,0.05,-27.8804,61.8,57.63,0.758129,1091.2
